Date,High_MKC,Low_MKC,Open_MKC,Close_MKC,Volume_MKC
2020-10-16,100.98999786376953,99.69000244140625,100.06500244140625,99.69499969482422,809000
2020-10-19,100.70999908447266,98.56500244140625,99.9749984741211,98.76499938964844,681000
2020-10-20,99.37000274658203,97.8499984741211,98.9000015258789,97.97000122070312,533000
2020-10-21,98.67500305175781,97.54499816894531,97.94499969482422,97.66999816894531,398800
2020-10-22,97.81500244140625,96.86499786376953,97.5,97.31500244140625,554400
2020-10-23,98.45999908447266,97.31500244140625,97.76499938964844,98.2300033569336,553800
2020-10-26,97.97000122070312,96.36499786376953,97.41500091552734,97.02999877929688,535600
2020-10-27,97.63999938964844,96.0199966430664,97.25,96.1050033569336,1094800
2020-10-28,95.52999877929688,92.69999694824219,94.86000061035156,92.83499908447266,907800
2020-10-29,93.49500274658203,91.92500305175781,92.79499816894531,91.94999694824219,863000
2020-10-30,92.15499877929688,89.25499725341797,91.55000305175781,90.25499725341797,1375600
2020-11-02,93.28500366210938,91.56999969482422,91.69000244140625,92.58499908447266,1005000
2020-11-03,94.70999908447266,93.01000213623047,93.58999633789062,93.83999633789062,698600
2020-11-04,96.2750015258789,94.18000030517578,94.41500091552734,94.48999786376953,787000
2020-11-05,95.96499633789062,93.82499694824219,95.8949966430664,94.2699966430664,826400
2020-11-06,95.94000244140625,93.5,94.37999725341797,94.33000183105469,718600
2020-11-09,97.0,88.91999816894531,95.875,89.16000366210938,2137200
2020-11-10,91.93000030517578,89.08000183105469,89.5,90.97000122070312,1152800
2020-11-11,93.54000091552734,91.70500183105469,91.82499694824219,93.44499969482422,1027000
2020-11-12,94.36499786376953,91.44000244140625,94.08000183105469,92.48999786376953,623000
2020-11-13,92.9800033569336,91.1500015258789,92.44000244140625,92.30999755859375,596200
2020-11-16,92.91500091552734,90.76499938964844,92.59500122070312,92.08999633789062,1145400
2020-11-17,92.36499786376953,90.90499877929688,91.61499786376953,91.33000183105469,1334200
2020-11-18,92.41999816894531,90.875,91.4800033569336,91.09500122070312,1096800
2020-11-19,91.80999755859375,90.09500122070312,90.91000366210938,91.62000274658203,864400
2020-11-20,92.65499877929688,91.43499755859375,92.0250015258789,91.83499908447266,957600
2020-11-23,92.51000213623047,90.91500091552734,92.11499786376953,91.5,1054200
2020-11-24,94.04000091552734,92.06500244140625,92.5,93.2699966430664,1804400
2020-11-25,94.43499755859375,92.61000061035156,93.33999633789062,92.79499816894531,731000
2020-11-27,94.0999984741211,92.125,93.5,93.23999786376953,575200
2020-11-30,93.61000061035156,91.13500213623047,92.90499877929688,93.48999786376953,1792400
2020-12-01,95.0199966430664,92.33999633789062,95.0199966430664,93.63999938964844,1425100
2020-12-02,94.4000015258789,91.16000366210938,93.48999786376953,91.41999816894531,980900
2020-12-03,92.91000366210938,91.26000213623047,91.4000015258789,92.6500015258789,837600
2020-12-04,93.94999694824219,92.01000213623047,92.51000213623047,93.94999694824219,838700
2020-12-07,94.30999755859375,92.16999816894531,93.88999938964844,92.63999938964844,816200
2020-12-08,93.8499984741211,92.05000305175781,92.16999816894531,93.44000244140625,710800
2020-12-09,93.41000366210938,91.76000213623047,93.33000183105469,93.12000274658203,827000
2020-12-10,93.63999938964844,92.44999694824219,93.22000122070312,93.05000305175781,655700
2020-12-11,93.72000122070312,92.80000305175781,92.9000015258789,93.41999816894531,828800
2020-12-14,94.9800033569336,93.23999786376953,93.83999633789062,93.27999877929688,759200
2020-12-15,93.80999755859375,91.58000183105469,93.30000305175781,91.7699966430664,1312800
