Date,High_MMM,Low_MMM,Open_MMM,Close_MMM,Volume_MMM
2001-03-15,54.959999084472656,54.0,54.70000076293945,54.619998931884766,4221600
2001-03-16,55.150001525878906,52.75,55.150001525878906,53.005001068115234,6756800
2001-03-19,54.32500076293945,52.6150016784668,53.005001068115234,53.9900016784668,4714400
2001-03-20,54.75,52.6150016784668,53.9900016784668,52.619998931884766,5505000
2001-03-21,52.900001525878906,51.0099983215332,52.6150016784668,51.814998626708984,8985600
2001-03-22,51.75,49.25,50.5,50.904998779296875,13475400
2001-03-23,51.724998474121094,49.75,51.125,50.875,7820400
2001-03-26,53.25,50.75,50.75,52.01499938964844,5447400
2001-03-27,53.150001525878906,51.380001068115234,52.0,52.70500183105469,6526400
2001-03-28,52.474998474121094,51.22999954223633,51.82500076293945,52.415000915527344,4470600
2001-03-29,52.0099983215332,50.275001525878906,52.0099983215332,51.400001525878906,4987000
2001-03-30,52.625,51.025001525878906,51.525001525878906,51.95000076293945,3696200
2001-04-02,53.04999923706055,50.75,51.79999923706055,51.025001525878906,4640600
2001-04-03,51.0,49.255001068115234,50.67499923706055,49.95500183105469,6518000
2001-04-04,51.0,48.58000183105469,49.95000076293945,49.310001373291016,8049800
2001-04-05,51.92499923706055,50.4900016784668,50.5,51.6150016784668,5920400
2001-04-06,51.45000076293945,50.3849983215332,51.17499923706055,51.0,3722600
2001-04-09,52.599998474121094,51.529998779296875,51.900001525878906,52.290000915527344,3954400
2001-04-10,55.900001525878906,52.625,52.75,54.28499984741211,7774400
2001-04-11,55.599998474121094,53.125,55.5,53.404998779296875,4574400
2001-04-12,54.119998931884766,52.70000076293945,53.0,53.8650016784668,3257600
2001-04-16,55.35499954223633,53.86000061035156,53.86000061035156,55.2400016784668,4091600
2001-04-17,55.32500076293945,54.099998474121094,54.7400016784668,54.45000076293945,3664400
2001-04-18,58.625,54.45000076293945,55.29999923706055,58.0,6839600
2001-04-19,58.25,57.01499938964844,57.875,58.25,3849400
2001-04-20,57.54999923706055,56.07500076293945,57.2599983215332,56.25,4346000
2001-04-23,58.345001220703125,55.5099983215332,56.29999923706055,58.150001525878906,5980200
2001-04-24,59.84000015258789,57.7599983215332,58.099998474121094,58.05500030517578,6300200
2001-04-25,58.70000076293945,57.279998779296875,58.05500030517578,58.51499938964844,3360200
2001-04-26,59.34000015258789,57.75,58.66999816894531,58.915000915527344,2607000
2001-04-27,59.82500076293945,58.650001525878906,58.75,59.4900016784668,3171000
2001-04-30,60.959999084472656,59.17499923706055,59.48500061035156,59.505001068115234,5043400
2001-05-01,59.505001068115234,58.189998626708984,59.505001068115234,58.755001068115234,3515800
2001-05-02,59.25,57.84000015258789,59.25,58.275001525878906,4315800
2001-05-03,59.400001525878906,57.67499923706055,58.375,58.875,4016800
2001-05-04,60.0,58.04999923706055,58.375,59.994998931884766,4185400
2001-05-07,60.349998474121094,58.775001525878906,59.625,58.95000076293945,2934200
2001-05-08,59.32500076293945,57.8849983215332,58.939998626708984,58.18000030517578,3610000
2001-05-09,59.04999923706055,58.150001525878906,58.18000030517578,58.46500015258789,2607800
2001-05-10,59.47999954223633,58.650001525878906,58.67499923706055,59.02000045776367,2344000
2001-05-11,59.375,58.224998474121094,59.02000045776367,58.689998626708984,2259800
2001-05-14,59.20000076293945,58.625,58.689998626708984,59.150001525878906,1640800
2001-05-15,59.875,58.904998779296875,59.150001525878906,59.07500076293945,2843200
2001-05-16,62.775001525878906,58.775001525878906,59.04999923706055,62.75,7170600
2001-05-17,63.5,61.349998474121094,62.505001068115234,61.85499954223633,8058800
2001-05-18,62.20000076293945,61.0,61.915000915527344,61.525001525878906,3933200
2001-05-21,61.92499923706055,61.130001068115234,61.54999923706055,61.54499816894531,2800000
2001-05-22,61.70500183105469,60.2599983215332,61.650001525878906,60.5,4311600
2001-05-23,60.54499816894531,60.05500030517578,60.29999923706055,60.31999969482422,2805600
