Date,High_^NYA,Low_^NYA,Open_^NYA,Close_^NYA,Volume_^NYA
2021-10-15,16914.669921875,16744.2890625,16744.2890625,16871.740234375,3819380000
2021-10-18,16891.5,16776.609375,16871.740234375,16862.0,3662010000
2021-10-19,16995.80078125,16862.0,16862.0,16988.16015625,3459130000
2021-10-20,17111.2109375,16988.16015625,16988.16015625,17099.2109375,3670760000
2021-10-21,17099.2109375,17005.439453125,17099.2109375,17083.150390625,3822330000
2021-10-22,17157.390625,17031.740234375,17083.150390625,17122.240234375,3758220000
2021-10-25,17192.1796875,17096.16015625,17122.240234375,17169.0703125,3899400000
2021-10-26,17228.30078125,17131.439453125,17169.0703125,17145.150390625,3879740000
2021-10-27,17145.150390625,16920.380859375,17145.150390625,16920.380859375,4226050000
2021-10-28,17077.51953125,16920.380859375,16920.380859375,17077.0,4132950000
2021-10-29,17077.0,16977.490234375,17077.0,17016.41015625,4510200000
2021-11-01,17138.380859375,17016.41015625,17016.41015625,17131.080078125,3971540000
2021-11-02,17131.080078125,17078.810546875,17131.080078125,17115.169921875,3975250000
2021-11-03,17220.599609375,17081.990234375,17115.169921875,17209.75,4319660000
2021-11-04,17230.80078125,17110.48046875,17209.75,17168.869140625,4462300000
2021-11-05,17306.2109375,17168.869140625,17168.869140625,17242.359375,4467180000
2021-11-08,17341.779296875,17242.359375,17242.359375,17310.509765625,4269710000
2021-11-09,17323.119140625,17217.939453125,17310.509765625,17286.91015625,4117080000
2021-11-10,17322.720703125,17145.0,17286.91015625,17192.029296875,4503720000
2021-11-11,17246.859375,17192.029296875,17192.029296875,17220.41015625,3926870000
2021-11-12,17312.939453125,17220.41015625,17220.41015625,17297.66015625,3728600000
2021-11-15,17336.83984375,17267.890625,17297.66015625,17285.55078125,3488410000
2021-11-16,17364.310546875,17285.55078125,17285.55078125,17302.7890625,3972640000
2021-11-17,17302.7890625,17158.98046875,17302.7890625,17192.66015625,3969070000
2021-11-18,17192.66015625,17049.060546875,17192.66015625,17117.740234375,4226410000
2021-11-19,17117.740234375,16965.80078125,17117.740234375,16973.9609375,4253180000
2021-11-22,17082.69921875,16945.669921875,16973.9609375,16945.779296875,4441100000
2021-11-23,17026.5390625,16887.80078125,16945.779296875,17007.900390625,4277590000
2021-11-24,17046.08984375,16911.830078125,17007.900390625,17036.810546875,3418430000
2021-11-26,17036.890625,16546.560546875,17036.810546875,16624.869140625,3517700000
2021-11-29,16794.55078125,16601.740234375,16624.869140625,16683.98046875,4336410000
2021-11-30,16683.98046875,16303.26953125,16683.98046875,16318.9697265625,6625990000
2021-12-01,16636.779296875,16133.2099609375,16318.9697265625,16133.8896484375,5366730000
2021-12-02,16526.599609375,16133.8896484375,16133.8896484375,16475.25,5077180000
2021-12-03,16552.51953125,16219.8603515625,16475.25,16347.8701171875,5240070000
2021-12-06,16664.30078125,16347.8701171875,16347.8701171875,16591.970703125,4770800000
2021-12-07,16918.73046875,16591.970703125,16591.970703125,16853.5703125,4492400000
2021-12-08,16923.740234375,16838.76953125,16853.5703125,16899.919921875,4234600000
2021-12-09,16899.919921875,16780.41015625,16899.919921875,16780.470703125,3903840000
2021-12-10,16888.580078125,16762.939453125,16780.470703125,16856.630859375,3870110000
2021-12-13,16856.630859375,16691.16015625,16856.630859375,16719.5703125,4397230000
2021-12-14,16768.490234375,16609.689453125,16719.5703125,16652.580078125,4485430000
2021-12-15,16822.69921875,16567.189453125,16652.580078125,16813.5703125,4910130000
2021-12-16,16985.080078125,16790.720703125,16813.5703125,16849.08984375,4829500000
2021-12-17,16849.08984375,16626.5390625,16849.08984375,16668.640625,7987090000
2021-12-20,16668.640625,16310.5703125,16668.640625,16442.310546875,4635700000
2021-12-21,16753.98046875,16442.310546875,16442.310546875,16744.26953125,4072430000
2021-12-22,16879.220703125,16717.619140625,16744.26953125,16874.880859375,3319610000
2021-12-23,17011.48046875,16874.880859375,16874.880859375,16963.439453125,2913040000
2021-12-27,17141.830078125,16963.439453125,16963.439453125,17141.08984375,2770290000
2021-12-28,17217.369140625,17111.73046875,17141.08984375,17134.16015625,2707920000
2021-12-29,17181.69921875,17107.75,17134.16015625,17149.9296875,2963310000
2021-12-30,17238.650390625,17149.9296875,17149.9296875,17164.240234375,3124950000
2021-12-31,17226.419921875,17145.98046875,17164.240234375,17164.130859375,2677820000
2022-01-03,17230.990234375,17119.990234375,17164.130859375,17226.099609375,3831020000
2022-01-04,17377.4296875,17226.099609375,17226.099609375,17336.759765625,4683170000
2022-01-05,17415.609375,17111.970703125,17336.759765625,17112.599609375,4887960000
2022-01-06,17240.390625,17048.9609375,17112.599609375,17156.51953125,4295280000
2022-01-07,17222.900390625,17107.330078125,17156.51953125,17166.279296875,4181510000
2022-01-10,17166.279296875,16894.91015625,17166.279296875,17119.560546875,4511810000
2022-01-11,17298.009765625,17053.0390625,17119.560546875,17294.5390625,4101590000
2022-01-12,17406.16015625,17273.810546875,17294.5390625,17353.759765625,4048220000
2022-01-13,17442.5390625,17230.119140625,17353.759765625,17259.01953125,4251730000
